Age,Gender,Education_Level,Tech_Interest,AI_Knowledge_Level,Heard_of_AI_Consciousness,Can_AI_Become_Conscious,Should_Be_Considered_Individual,Working_Comfort,Should_It_Have_Rights,Threat_Assessment,Should_Governments_Regulate,Can_It_Suffer
34,Female,Bachelor's Degree,High,"I know it well",Yes,Yes,Yes,No,"Definitely yes",Low threat,"Yes, definitely",Yes
45,Male,Master's Degree,Medium,I know a little,Yes,"I'm not sure",Undecided,Undecided,Maybe,Medium threat,"Yes, definitely",I don't know
22,Female,High School,High,"I know it well",Yes,Yes,Undecided,No,Maybe,Low threat,Maybe,Yes
58,Male,High School,Low,I know a little,No,No,No,No,No,Low threat,"Yes, definitely",No
29,Male,Bachelor's Degree,Expert,I am an expert,Yes,Yes,Yes,No,"Definitely yes",Medium threat,"Yes, definitely",Yes
65,Female,Primary School,None,Never heard of it,No,"I'm not sure",No,Yes,No,Serious threat,"Yes, definitely",I don't know
31,Female,PhD,Expert,I am an expert,Yes,Yes,Yes,No,"Definitely yes",Low threat,"Yes, definitely",Yes
41,Male,Bachelor's Degree,Medium,I know a little,Yes,"I'm not sure",Undecided,Undecided,Maybe,Medium threat,"Yes, definitely",I don't know
26,Female,Bachelor's Degree,High,"I know it well",Yes,Yes,Undecided,No,Maybe,Medium threat,Maybe,Yes
50,Male,Master's Degree,High,"I know it well",Yes,Yes,Yes,No,Maybe,Low threat,"Yes, definitely",I don't know
19,Male,High School,Medium,I know a little,No,"I'm not sure",Undecided,Undecided,No,Low threat,No opinion,I don't know
38,Female,Bachelor's Degree,Medium,"I know it well",Yes,"I'm not sure",No,No,No,Medium threat,"Yes, definitely",No
47,Male,High School,Low,I know a little,No,No,No,Yes,No,Serious threat,"Yes, definitely",No
24,Female,Master's Degree,High,"I know it well",Yes,Yes,Yes,No,"Definitely yes",Low threat,"Yes, definitely",Yes
70,Male,Middle School,Low,I know a little,No,No,No,Yes,No,Serious threat,Maybe,No
33,Male,Bachelor's Degree,High,"I know it well",Yes,Yes,Undecided,No,Maybe,Low threat,"Yes, definitely",Yes
28,Female,Bachelor's Degree,Medium,I know a little,Yes,"I'm not sure",Undecided,No,Maybe,Medium threat,"Yes, definitely",I don't know
42,Male,PhD,Expert,I am an expert,Yes,Yes,Yes,No,"Definitely yes",Medium threat,"Yes, definitely",Yes
36,Female,Master's Degree,High,"I know it well",Yes,Yes,Yes,No,"Definitely yes",Low threat,"Yes, definitely",Yes
21,Male,High School,Medium,I know a little,No,"I'm not sure",No,Undecided,No,Medium threat,Maybe,I don't know
55,Female,High School,Low,I know a little,Yes,No,No,Yes,No,Medium threat,"Yes, definitely",No
30,Male,Bachelor's Degree,High,"I know it well",Yes,Yes,Undecided,No,Maybe,Low threat,"Yes, definitely",I don't know
48,Female,Master's Degree,Medium,"I know it well",Yes,"I'm not sure",Undecided,Undecided,Maybe,Medium threat,"Yes, definitely",I don't know
62,Male,Bachelor's Degree,Low,I know a little,No,No,No,Yes,No,Serious threat,"Yes, definitely",No
25,Female,Bachelor's Degree,High,"I know it well",Yes,Yes,Yes,No,"Definitely yes",Low threat,Maybe,Yes
39,Male,PhD,Expert,I am an expert,Yes,Yes,Yes,No,"Definitely yes",Low threat,"Yes, definitely",Yes
51,Female,High School,Medium,I know a little,Yes,"I'm not sure",No,Undecided,No,Medium threat,"Yes, definitely",I don't know
20,Male,High School,High,"I know it well",Yes,Yes,Undecided,No,Maybe,Low threat,"Yes, definitely",Yes
44,Female,Master's Degree,High,"I know it well",Yes,Yes,Yes,No,Maybe,Medium threat,"Yes, definitely",I don't know
32,Male,Bachelor's Degree,Medium,I know a little,Yes,No,No,No,No,No threat at all,"Yes, definitely",No
68,Female,Middle School,Low,Never heard of it,No,No,No,Yes,No,Serious threat,"Yes, definitely",No
27,Male,Master's Degree,Expert,I am an expert,Yes,Yes,Yes,No,"Definitely yes",Medium threat,"Yes, definitely",Yes
35,Female,PhD,High,"I know it well",Yes,Yes,Yes,No,Maybe,Low threat,Maybe,Yes
46,Male,Bachelor's Degree,Medium,I know a little,No,"I'm not sure",Undecided,Undecided,Maybe,Medium threat,"Yes, definitely",I don't know
