,Age,Gender,Education_Level,Tech_Interest,AI_Knowledge_Level,Heard_of_AI_Consciousness,Can_AI_Become_Conscious,Should_Be_Considered_Individual,Working_Comfort,Should_It_Have_Rights,Threat_Assessment,Should_Governments_Regulate,Can_It_Suffer
0,34,Female,Bachelor's Degree,High,I know it well,Yes,Yes,Yes,No,Definitely yes,Low threat,"Yes, definitely",Yes
1,45,Male,Master's Degree,Medium,I know a little,Yes,I'm not sure,Undecided,Undecided,Maybe,Medium threat,"Yes, definitely",I don't know
2,22,Female,High School,High,I know it well,Yes,Yes,Undecided,No,Maybe,Low threat,Maybe,Yes
3,58,Male,High School,Low,I know a little,No,No,No,No,No,Low threat,"Yes, definitely",No
4,29,Male,Bachelor's Degree,Expert,I am an expert,Yes,Yes,Yes,No,Definitely yes,Medium threat,"Yes, definitely",Yes
5,65,Female,Primary School,,Never heard of it,No,I'm not sure,No,Yes,No,Serious threat,"Yes, definitely",I don't know
6,31,Female,PhD,Expert,I am an expert,Yes,Yes,Yes,No,Definitely yes,Low threat,"Yes, definitely",Yes
7,41,Male,Bachelor's Degree,Medium,I know a little,Yes,I'm not sure,Undecided,Undecided,Maybe,Medium threat,"Yes, definitely",I don't know
8,26,Female,Bachelor's Degree,High,I know it well,Yes,Yes,Undecided,No,Maybe,Medium threat,Maybe,Yes
9,50,Male,Master's Degree,High,I know it well,Yes,Yes,Yes,No,Maybe,Low threat,"Yes, definitely",I don't know
10,19,Male,High School,Medium,I know a little,No,I'm not sure,Undecided,Undecided,No,Low threat,No opinion,I don't know
11,38,Female,Bachelor's Degree,Medium,I know it well,Yes,I'm not sure,No,No,No,Medium threat,"Yes, definitely",No
12,47,Male,High School,Low,I know a little,No,No,No,Yes,No,Serious threat,"Yes, definitely",No
13,24,Female,Master's Degree,High,I know it well,Yes,Yes,Yes,No,Definitely yes,Low threat,"Yes, definitely",Yes
14,70,Male,Middle School,Low,I know a little,No,No,No,Yes,No,Serious threat,Maybe,No
15,33,Male,Bachelor's Degree,High,I know it well,Yes,Yes,Undecided,No,Maybe,Low threat,"Yes, definitely",Yes
